Procs,Terms,Variable,Total,Rank,Time
11,30000,0.990000,100.000000,6,0.544878
11,30000,0.990000,100.000000,7,0.609468
11,30000,0.990000,100.000000,8,0.690659
11,30000,0.990000,100.000000,9,0.769030
11,30000,0.990000,100.000000,10,0.822367
12,30000,0.990000,100.000000,0,0.039463
12,30000,0.990000,100.000000,1,0.112009
12,30000,0.990000,100.000000,2,0.188207
12,30000,0.990000,100.000000,3,0.252466
12,30000,0.990000,100.000000,4,0.313507
12,30000,0.990000,100.000000,5,0.402271
12,30000,0.990000,100.000000,6,0.448561
12,30000,0.990000,100.000000,7,0.530746
12,30000,0.990000,100.000000,8,0.582426
12,30000,0.990000,100.000000,9,0.653020
12,30000,0.990000,100.000000,10,0.714863
12,30000,0.990000,100.000000,11,0.773812
13,30000,0.990000,100.000000,0,0.043717
13,30000,0.990000,100.000000,1,0.108240
13,30000,0.990000,100.000000,2,0.161322
13,30000,0.990000,100.000000,3,0.260392
13,30000,0.990000,100.000000,4,0.285290
13,30000,0.990000,100.000000,5,0.334862
13,30000,0.990000,100.000000,6,0.343552
13,30000,0.990000,100.000000,7,0.440909
13,30000,0.990000,100.000000,8,0.506591
13,30000,0.990000,100.000000,9,0.554203
13,30000,0.990000,100.000000,10,0.572216
13,30000,0.990000,100.000000,11,0.675457
13,30000,0.990000,100.000000,12,0.660962
14,30000,0.990000,100.000000,0,0.028778
14,30000,0.990000,100.000000,1,0.092371
14,30000,0.990000,100.000000,2,0.158340
14,30000,0.990000,100.000000,3,0.186009
14,30000,0.990000,100.000000,4,0.249339
14,30000,0.990000,100.000000,5,0.297380
14,30000,0.990000,100.000000,6,0.336121
14,30000,0.990000,100.000000,7,0.396708
14,30000,0.990000,100.000000,8,0.423393
14,30000,0.990000,100.000000,9,0.482782
14,30000,0.990000,100.000000,10,0.529456
14,30000,0.990000,100.000000,11,0.579359
14,30000,0.990000,100.000000,12,0.545656
14,30000,0.990000,100.000000,13,0.681644
15,30000,0.990000,100.000000,0,0.031455
15,30000,0.990000,100.000000,1,0.101371
15,30000,0.990000,100.000000,2,0.120753
15,30000,0.990000,100.000000,3,0.178799
15,30000,0.990000,100.000000,4,0.211251
15,30000,0.990000,100.000000,5,0.257892
15,30000,0.990000,100.000000,6,0.301322
15,30000,0.990000,100.000000,7,0.382649
15,30000,0.990000,100.000000,8,0.378045
15,30000,0.990000,100.000000,9,0.417320
15,30000,0.990000,100.000000,10,0.466897
15,30000,0.990000,100.000000,11,0.510122
15,30000,0.990000,100.000000,12,0.554344
15,30000,0.990000,100.000000,13,0.602719
15,30000,0.990000,100.000000,14,0.624559
16,30000,0.990000,100.000000,0,0.021752
16,30000,0.990000,100.000000,1,0.082724
16,30000,0.990000,100.000000,2,0.140070
16,30000,0.990000,100.000000,3,0.156401
16,30000,0.990000,100.000000,4,0.181907
16,30000,0.990000,100.000000,5,0.218795
16,30000,0.990000,100.000000,6,0.260735
16,30000,0.990000,100.000000,7,0.282468
16,30000,0.990000,100.000000,8,0.376079
16,30000,0.990000,100.000000,9,0.357469
16,30000,0.990000,100.000000,10,0.413016
16,30000,0.990000,100.000000,11,0.443205
16,30000,0.990000,100.000000,12,0.488836
16,30000,0.990000,100.000000,13,0.524944
16,30000,0.990000,100.000000,14,0.458385
16,30000,0.990000,100.000000,15,0.601827
