Procs,Terms,Variable,Total,Rank,Time
16,10000,0.990000,100.000000,7,0.043392
16,10000,0.990000,100.000000,8,0.041965
16,10000,0.990000,100.000000,9,0.049713
16,10000,0.990000,100.000000,10,0.060401
16,10000,0.990000,100.000000,11,0.044043
16,10000,0.990000,100.000000,12,0.053797
16,10000,0.990000,100.000000,13,0.045287
16,10000,0.990000,100.000000,14,0.044643
16,10000,0.990000,100.000000,15,0.042488
1,20000,0.990000,100.000000,0,1.607512
2,20000,0.990000,100.000000,0,0.847419
2,20000,0.990000,100.000000,1,0.994829
3,20000,0.990000,100.000000,0,0.717790
3,20000,0.990000,100.000000,1,0.742023
3,20000,0.990000,100.000000,2,0.728146
4,20000,0.990000,100.000000,0,0.452150
4,20000,0.990000,100.000000,1,0.563278
4,20000,0.990000,100.000000,2,0.463934
4,20000,0.990000,100.000000,3,0.558514
5,20000,0.990000,100.000000,0,0.369125
5,20000,0.990000,100.000000,1,0.378910
5,20000,0.990000,100.000000,2,0.452717
5,20000,0.990000,100.000000,3,0.452309
5,20000,0.990000,100.000000,4,0.441048
6,20000,0.990000,100.000000,0,0.302623
6,20000,0.990000,100.000000,1,0.389864
6,20000,0.990000,100.000000,2,0.390151
6,20000,0.990000,100.000000,3,0.381981
6,20000,0.990000,100.000000,4,0.320145
6,20000,0.990000,100.000000,5,0.390647
7,20000,0.990000,100.000000,0,0.268904
7,20000,0.990000,100.000000,1,0.334502
7,20000,0.990000,100.000000,2,0.329701
7,20000,0.990000,100.000000,3,0.330082
7,20000,0.990000,100.000000,4,0.320673
7,20000,0.990000,100.000000,5,0.335396
7,20000,0.990000,100.000000,6,0.329703
8,20000,0.990000,100.000000,0,0.254491
8,20000,0.990000,100.000000,1,0.298867
8,20000,0.990000,100.000000,2,0.324284
8,20000,0.990000,100.000000,3,0.268623
8,20000,0.990000,100.000000,4,0.286750
8,20000,0.990000,100.000000,5,0.294636
8,20000,0.990000,100.000000,6,0.286782
8,20000,0.990000,100.000000,7,0.296113
9,20000,0.990000,100.000000,0,0.244896
9,20000,0.990000,100.000000,1,0.266403
9,20000,0.990000,100.000000,2,0.263666
9,20000,0.990000,100.000000,3,0.259014
9,20000,0.990000,100.000000,4,0.302185
9,20000,0.990000,100.000000,5,0.262221
9,20000,0.990000,100.000000,6,0.270713
9,20000,0.990000,100.000000,7,0.250923
9,20000,0.990000,100.000000,8,0.256179
10,20000,0.990000,100.000000,0,0.218828
10,20000,0.990000,100.000000,1,0.279740
10,20000,0.990000,100.000000,2,0.235541
10,20000,0.990000,100.000000,3,0.241627
10,20000,0.990000,100.000000,4,0.235651
10,20000,0.990000,100.000000,5,0.235634
10,20000,0.990000,100.000000,6,0.239326
10,20000,0.990000,100.000000,7,0.237074
10,20000,0.990000,100.000000,8,0.234680
10,20000,0.990000,100.000000,9,0.232772
11,20000,0.990000,100.000000,0,0.249654
11,20000,0.990000,100.000000,1,0.257388
11,20000,0.990000,100.000000,2,0.216561
11,20000,0.990000,100.000000,3,0.217050
11,20000,0.990000,100.000000,4,0.212542
11,20000,0.990000,100.000000,5,0.216095
11,20000,0.990000,100.000000,6,0.217410
11,20000,0.990000,100.000000,7,0.218481
11,20000,0.990000,100.000000,8,0.214408
11,20000,0.990000,100.000000,9,0.216259
11,20000,0.990000,100.000000,10,0.209631
12,20000,0.990000,100.000000,0,0.181463
12,20000,0.990000,100.000000,1,0.208732
12,20000,0.990000,100.000000,2,0.225366
12,20000,0.990000,100.000000,3,0.200883
12,20000,0.990000,100.000000,4,0.202606
12,20000,0.990000,100.000000,5,0.203214
12,20000,0.990000,100.000000,6,0.195145
12,20000,0.990000,100.000000,7,0.194217
12,20000,0.990000,100.000000,8,0.187925
12,20000,0.990000,100.000000,9,0.202996
12,20000,0.990000,100.000000,10,0.203723
12,20000,0.990000,100.000000,11,0.196490
13,20000,0.990000,100.000000,0,0.172948
13,20000,0.990000,100.000000,1,0.201040
13,20000,0.990000,100.000000,2,0.198874
13,20000,0.990000,100.000000,3,0.229500
13,20000,0.990000,100.000000,4,0.192367
13,20000,0.990000,100.000000,5,0.189577
13,20000,0.990000,100.000000,6,0.188468
13,20000,0.990000,100.000000,7,0.194726
13,20000,0.990000,100.000000,8,0.176249
13,20000,0.990000,100.000000,9,0.182971
13,20000,0.990000,100.000000,10,0.179499
13,20000,0.990000,100.000000,11,0.185461
13,20000,0.990000,100.000000,12,0.183583
14,20000,0.990000,100.000000,0,0.183847
14,20000,0.990000,100.000000,1,0.185681
14,20000,0.990000,100.000000,2,0.168914
14,20000,0.990000,100.000000,3,0.183391
14,20000,0.990000,100.000000,4,0.159972
14,20000,0.990000,100.000000,5,0.173839
14,20000,0.990000,100.000000,6,0.171107
14,20000,0.990000,100.000000,7,0.172415
14,20000,0.990000,100.000000,8,0.172731
14,20000,0.990000,100.000000,9,0.166760
14,20000,0.990000,100.000000,10,0.170919
14,20000,0.990000,100.000000,11,0.165304
14,20000,0.990000,100.000000,12,0.168947
